piezo,Dopants,Dopants fr,Fabrication Method,d33,D33 (pC/N),ref
0.05%CNT-PVDF,CNT,0.05,Electro Spinning,13.61,13.61,http://dx.doi.org/10.1155/2022/9452318
0.5%GO-PVDF,GO,0.5,Electro Spinning,10.5,10.5,http://dx.doi.org/10.1155/2022/9452318
1.5%GO-PVDF,GO,1.5,Electro Spinning,8.67,8.67,http://dx.doi.org/10.1155/2022/9452318
2.5%GO-PVDF,GO,2.5,Electro Spinning,7.46,7.46,http://dx.doi.org/10.1155/2022/9452318
GO%0,GO,0,Electro Spinning,14.54,14.54 ± 0.94,https://doi.org/10.1038/s41598-024-66258-9
GO%0.5GO,GO,0.5,Electro Spinning,19.94,19.94 ± 1.43,https://doi.org/10.1038/s41598-024-66258-9
GO%1GO,GO,1,Electro Spinning,32.07,32.07 ± 3.41,https://doi.org/10.1038/s41598-024-66258-9
GO%1.5GO,GO,1.5,Electro Spinning,55.57,55.57 ± 2.88,https://doi.org/10.1038/s41598-024-66258-9
GO%2GO,GO,2,Electro Spinning,47.53,47.53 ± 2.18,https://doi.org/10.1038/s41598-024-66258-9
GO%2.5GO,GO,2.5,Electro Spinning,42.53,42.53 ± 1.14,https://doi.org/10.1038/s41598-024-66258-9
GO%3GO,GO,3,Electro Spinning,45.02,45.02 ± 1.32,https://doi.org/10.1038/s41598-024-66258-9
PVDF,BaTiO3,0,Sol-gel,28,28,https://doi.org/10.1080/00150193.2019.1658038
5wt%BaTiO3,BaTiO3,5,Sol-gel,148.44,148.44,https://doi.org/10.1080/00150193.2019.1658038
7%wtBaTiO3,BaTiO3,7,Sol-gel,31.22,31.22,https://doi.org/10.1080/00150193.2019.1658038
