piezo,Dopants,Dopants fr,Fabrication Method,d33,D33 (pC/N),ref,phi,Eff_Dielectric,Eff_Thermal,Eff_Youngs,Piezo_Base,Gamma_TE,Chi_Mech,S_imp,Delta_Beta,Fourier_sin,Fourier_cos
PVDF/37%vol,PZT,37.0,Electro Spinning,22.93,22.93,https://doi.org/10.1016/j.ceramint.2020.03.210,0.37,16.95395664997184,0.38048780456870906,4176670393.5587234,6.198770491800263,6.450773744500851,2.0883351967793615,30377000000.0,0.4213814168431862,0.7289686274214114,-0.6845471059286887
Pure,PVDF,0.0,Solution Casting,7.43,7.43,https://doi.org/10.1016/j.jallcom.2021.160829,0.0,0.3333333333222222,0.19999999966666668,1999999997.9999998,4.0,0.06666666655333334,0.9999999989999999,0.0,0.0,0.0,1.0
TiO2-2 wt%/PVDF,TiO2,2.0,Solution Casting,8.21,8.21,https://doi.org/10.1016/j.jallcom.2021.160829,0.02,0.5468749999957276,0.20437205293144872,2079367279.687625,3.950769230768994,0.11176596644601287,1.0396836398438125,2900000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
TiO2-5 wt%/PVDF,TiO2,5.0,Solution Casting,14.86,14.86,https://doi.org/10.1016/j.jallcom.2021.160829,0.05,1.27999999998976,0.2110509206814183,2204504824.2797914,3.876923076922485,0.27014517847005426,1.1022524121398958,7250000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
TiO2-8 wt%/PVDF,TiO2,8.0,Solution Casting,11.46,11.46,https://doi.org/10.1016/j.jallcom.2021.160829,0.08,2.049180327852056,0.2178790532231825,2337562700.32239,3.8030769230759764,0.4464734697159766,1.168781350161195,11600000000.0,0.16483997698218034,0.4817536741017153,0.8763066800438636
TiO2-11 wt%/PVDF,TiO2,11.0,Solution Casting,9.87,9.87,https://doi.org/10.1016/j.jallcom.2021.160829,0.11,2.8571428571188475,0.22486151094076945,2479317434.5591655,3.7292307692294675,0.6424614598253711,1.2396587172795828,15950000000.0,0.21152509480975668,0.6374239897486896,0.7705132427757893
TiO2-14 wt%/PVDF,TiO2,14.0,Solution Casting,8.63,8.63,https://doi.org/10.1016/j.jallcom.2021.160829,0.14,3.7068965516921826,0.2320035855759709,2630650493.0857854,3.6553846153829586,0.8600132913517887,1.3153252465428926,20300000000.000004,0.2517073481042953,0.7705132427757893,0.6374239897486896
DA0.5@TiO2/PVDF,DA,0.5,Solution Casting,10.65,10.65,https://doi.org/10.1016/j.jallcom.2021.160829,0.005,0.37869330002585544,0.19972739627491617,2002223455.4720507,3.977500000000104,0.07563542680091975,1.0011117277360253,12500000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
DA1.0@TiO2/PVDF,DA,1.0,Solution Casting,12.73,12.73,https://doi.org/10.1016/j.jallcom.2021.160829,0.01,0.34081463007727286,0.1994550405096185,2004449386.2004626,3.9550000000002083,0.0679771958483331,1.0022246931002312,25000000.0,0.024385287749642992,0.06279051952931337,0.9980267284282716
DA1.5@TiO2/PVDF,DA,1.5,Solution Casting,14.68,14.68,https://doi.org/10.1016/j.jallcom.2021.160829,0.015,0.30303030301772393,0.19918293200329928,2006677794.3142116,3.9325000000003123,0.06035846424091849,1.0033388971571058,37500000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
DA2.0@TiO2/PVDF,DA,2.0,Solution Casting,19.57,19.57,https://doi.org/10.1016/j.jallcom.2021.160829,0.02,0.2653399668215033,0.19891107041939918,2008908683.9514682,3.9100000000004167,0.05277905682551308,1.0044543419757341,50000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
DA2.5@TiO2/PVDF,DA,2.5,Solution Casting,16.04,16.04,https://doi.org/10.1016/j.jallcom.2021.160829,0.025,0.2277432712121017,0.19863945542196929,2011142059.259627,3.8875000000005207,0.04523879936958974,1.0055710296298135,62500000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
P-G%0.0,G,0.0,Electro Spinning,17.0,17,https://doi.org/10.1002/pc.25225,0.0,0.3412969283159967,0.19999999999996,1999999997.9999998,4.0,0.06825938566318568,0.9999999989999999,0.0,0.0,0.0,1.0
P-G%0.1,G,0.1,Electro Spinning,22.0,22,https://doi.org/10.1002/pc.25225,0.001,0.34057206823248004,0.20060052846212387,2021546570.0145624,3.995952218430036,0.068318936866874,1.0107732850072813,1000000000.0,0.00249376040365884,0.006283143965558951,0.9999802608561371
P-G%0.3,G,0.3,Electro Spinning,29.0,29,https://doi.org/10.1002/pc.25225,0.003,0.33912245196285856,0.20180519896431157,2064766577.4772308,3.9878566552901074,0.06843667389162986,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
P-G%0.5,G,0.5,Electro Spinning,33.0,32–34,https://doi.org/10.1002/pc.25225,0.005,0.3376729742065735,0.20301471177896954,2108156567.767277,3.979761092150179,0.06855258153409494,1.0540782838836384,5000000000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
P-G%0.3/B,G,0.3,Electro Spinning,28.0,28,https://doi.org/10.1002/pc.25225,0.003,0.33912245196285856,0.20180519896431157,2064766577.4772308,3.9878566552901074,0.06843667389162986,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
P-G%0.3/B/Ce,G,0.3,Electro Spinning,21.0,20–22,https://doi.org/10.1002/pc.25225,0.003,0.33912245196285856,0.20180519896431157,2064766577.4772308,3.9878566552901074,0.06843667389162986,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
P-G%0.3/B/Er,G,0.3,Electro Spinning,12.0,12,https://doi.org/10.1002/pc.25225,0.003,0.33912245196285856,0.20180519896431157,2064766577.4772308,3.9878566552901074,0.06843667389162986,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
2%wtNfs-PVDF,Nfs,2.0,Electro Spinning,18.0,18,https://doi.org/10.1016/j.ceramint.2024.05.183,0.02,0.3945040074842692,0.21147299850688456,1995793899.165193,3.9289119170982145,0.08342694538568084,0.9978969495825966,36000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
4%wtNfs-PVDF,Nfs,4.0,Electro Spinning,23.0,23,https://doi.org/10.1016/j.ceramint.2024.05.183,0.04,0.5311585110693445,0.22339331617144462,1991596636.6724632,3.8578238341964295,0.11865726120046785,0.9957983183362316,72000000.0,0.09063462346100909,0.2486898871648548,0.9685831611286311
6%wtNfs-PVDF,Nfs,6.0,Electro Spinning,29.0,29,https://doi.org/10.1016/j.ceramint.2024.05.183,0.06,0.6690473689562797,0.23578763379552242,1987408182.7054124,3.786735751294644,0.15775309602332105,0.9937040913527062,108000000.0,0.12959088965914106,0.3681245526846779,0.9297764858882515
8%wtNfs-PVDF,Nfs,8.0,Electro Spinning,23.0,23,https://doi.org/10.1016/j.ceramint.2024.05.183,0.08,0.8081873812827554,0.24868479711896066,1983228509.564275,3.715647668392859,0.20098391494840612,0.9916142547821375,144000000.0,0.16483997698218034,0.4817536741017153,0.8763066800438636
10%Nfs-PVDF,Nfs,10.0,Electro Spinning,16.0,16,https://doi.org/10.1016/j.ceramint.2024.05.183,0.1,0.9485956544528727,0.2621160409258116,1979057589.665305,3.6445595854910735,0.2486421373846162,0.9895287948326524,180000000.0,0.1967346701436833,0.5877852522924731,0.8090169943749475
3%wtCoFe2O4-PVDF,CoFe2O4,3.0,Poling,5.5,5.5,https://www.beilstein-journals.org/xiv/download/pdf/202155-pdf,0.03,0.8813956516055687,0.21562746639946662,2120357818.3617847,3.935443037974543,0.19005311125121574,1.0601789091808924,4500000000.0,0.0696460117874711,0.1873813145857246,0.9822872507286887
5%wtCoFe2O4-PVDF,CoFe2O4,5.0,Poling,6.34,6.34,https://www.beilstein-journals.org/xiv/download/pdf/202155-pdf,0.05,1.4797611147936838,0.22650602403574135,2204702625.6187816,3.892405063290905,0.3351748066346136,1.1023513128093907,7500000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
7%wtCoFe2O4-PVDF,CoFe2O4,7.0,Poling,6.1,6.1,https://www.beilstein-journals.org/xiv/download/pdf/202155-pdf,0.07,2.101772905664903,0.23777596068744183,2292572717.106353,3.8493670886072673,0.4997510717913084,1.1462863585531764,10500000000.000002,0.14765595514064328,0.4257792915650727,0.9048270524660195
Neat,PVDF,0.0,Electro Spinning,10.0,10,http://dx.doi.org/10.1155/2022/9452318,0.0,0.3333333333222222,0.19999999966666668,1999999997.9999998,4.0,0.06666666655333334,0.9999999989999999,0.0,0.0,0.0,1.0
0.01%CNT-PVDF,CNT,0.01,Electro Spinning,13.58,13.58,http://dx.doi.org/10.1155/2022/9452318,0.0001,0.43385636087450136,0.20005998800050007,2002168369.5910947,3.999539130434785,0.08679729835049337,1.0010841847955474,150000000.0,0.0002499375104153545,0.0006283184893762572,0.9999998026079184
0.03%CNT-PVDF,CNT,0.03,Electro Spinning,15.97,15.97,http://dx.doi.org/10.1155/2022/9452318,0.0003,0.4320040343954681,0.20017999999449937,2006506395.3448453,3.998617391304356,0.08647856760290851,1.0032531976724226,449999999.99999994,0.0007494377811445574,0.0018849544759281134,0.9999982234717338
0.05%CNT-PVDF,CNT,0.05,Electro Spinning,13.61,13.61,http://dx.doi.org/10.1155/2022/9452318,0.0005,0.4301519333827395,0.20030006000289774,2010846132.0370972,3.9976956521739266,0.0861594580669252,1.0054230660185486,750000000.0,0.0012484388012699577,0.0031415874858795635,0.9999950652018582
0.5%GO-PVDF,GO,0.5,Electro Spinning,10.5,10.5,http://dx.doi.org/10.1155/2022/9452318,0.005,0.15075927364478717,0.20281751663177705,2102916703.798502,3.989999700006,0.03057662148984625,1.051458351899251,1500000000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
1.5%GO-PVDF,GO,1.5,Electro Spinning,8.67,8.67,http://dx.doi.org/10.1155/2022/9452318,0.015,0.4568490299411636,0.20853268656062918,2311666083.2873054,3.9699991000179997,0.09526795556624816,1.1558330416436526,4500000000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
2.5%GO-PVDF,GO,2.5,Electro Spinning,7.46,7.46,http://dx.doi.org/10.1155/2022/9452318,0.025,0.7692173572805276,0.2143572620796486,2524396094.0366163,3.949998500029999,0.16488732665079675,1.262198047018308,7500000000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
GO%0,GO,0.0,Electro Spinning,14.54,14.54 ± 0.94,https://doi.org/10.1038/s41598-024-66258-9,0.0,9.99980000399991e-06,0.19999999997826087,1999999997.9999998,4.0,1.9999600005825953e-06,0.9999999989999999,0.0,0.0,0.0,1.0
GO%0.5GO,GO,0.5,Electro Spinning,19.94,19.94 ± 1.43,https://doi.org/10.1038/s41598-024-66258-9,0.005,0.15075927364478717,0.20281751663177705,2102916703.798502,3.989999700006,0.03057662148984625,1.051458351899251,1500000000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
GO%1GO,GO,1.0,Electro Spinning,32.07,32.07 ± 3.41,https://doi.org/10.1038/s41598-024-66258-9,0.01,0.30303122128530485,0.20566161946393885,2206800830.5261817,3.979999400012,0.06232189171767101,1.1034004152630907,3000000000.0,0.024385287749642992,0.06279051952931337,0.9980267284282716
GO%1.5GO,GO,1.5,Electro Spinning,55.57,55.57 ± 2.88,https://doi.org/10.1038/s41598-024-66258-9,0.015,0.4568490299411636,0.20853268656062918,2311666083.2873054,3.9699991000179997,0.09526795556624816,1.1558330416436526,4500000000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
GO%2GO,GO,2.0,Electro Spinning,47.53,47.53 ± 2.18,https://doi.org/10.1038/s41598-024-66258-9,0.02,0.6122363600260478,0.21143110321096245,2417526427.2881045,3.9599988000239996,0.12944580902617128,1.2087632136440523,6000000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
GO%2.5GO,GO,2.5,Electro Spinning,42.53,42.53 ± 1.14,https://doi.org/10.1038/s41598-024-66258-9,0.025,0.7692173572805276,0.2143572620796486,2524396094.0366163,3.949998500029999,0.16488732665079675,1.262198047018308,7500000000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
GO%3GO,GO,3.0,Electro Spinning,45.02,45.02 ± 1.32,https://doi.org/10.1038/s41598-024-66258-9,0.03,0.9278166652800968,0.21731156338433108,2632289587.7207065,3.939998200035999,0.20162529006605445,1.3161447938603532,9000000000.0,0.0696460117874711,0.1873813145857246,0.9822872507286887
PVDF,BaTiO3,0.0,Sol-gel,28.0,28,https://doi.org/10.1080/00150193.2019.1658038,0.0,0.1041666666655816,0.19999999994444445,1999999997.9999998,4.0,0.020833333327329284,0.9999999989999999,0.0,0.0,0.0,1.0
5wt%BaTiO3,BaTiO3,5.0,Sol-gel,148.44,148.44,https://doi.org/10.1080/00150193.2019.1658038,0.05,1.1758360301922783,0.2260869564562067,2199335545.858523,7.440468749962078,0.26584118935772055,1.0996677729292614,3850000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
7%wtBaTiO3,BaTiO3,7.0,Sol-gel,31.22,31.22,https://doi.org/10.1080/00150193.2019.1658038,0.07,1.6261764061980066,0.23716814152295929,2284745760.256754,8.816656249946911,0.38567723604646614,1.142372880128377,5390000000.000001,0.14765595514064328,0.4257792915650727,0.9048270524660195
